,time,volt
0,0.0,2.6218291347919016
1,0.01,2.621496962275368
2,0.02,2.6225116511984763
3,0.03,2.6223035321542327
4,0.04,2.623250685874555
5,0.05,2.6229641490588613
6,0.06,2.623678419381919
7,0.07,2.6248784295573655
8,0.08,2.6239760677893686
9,0.09,2.6254415249650505
10,0.1,2.6257185880748657
11,0.11,2.6243483399092478
12,0.12,2.625340189448137
13,0.13,2.625900139348633
14,0.14,2.625129865929228
15,0.15,2.6249756712992993
16,0.16,2.626184661136379
17,0.17,2.6277807668477977
18,0.18,2.6286042726152257
19,0.19,2.6293468122136665
20,0.2,2.630288463125161
21,0.21,2.630397650411991
22,0.22,2.6309352179729557
23,0.23,2.6311433794654215
24,0.24,2.6285496706705205
25,0.25,2.6275276670262824
26,0.26,2.6289991118585405
27,0.27,2.6293796498422717
28,0.28,2.62897227521402
29,0.29,2.629204302928796
30,0.3,2.6290895537273835
31,0.31,2.6293230960882696
32,0.32,2.630356257872459
33,0.33,2.630330295196052
34,0.34,2.63113820750509
35,0.35000000000000003,2.629667642110177
36,0.36,2.631627886303923
37,0.37,2.6294195918479275
38,0.38,2.6178661259948908
39,0.39,2.621172935364202
40,0.4,2.6258747044442594
41,0.41000000000000003,2.6240669409451978
42,0.42,2.6259844875740095
43,0.43,2.625244570065845
44,0.44,2.6257421428264927
45,0.45,2.6257952878321484
46,0.46,2.6247517927203408
47,0.47000000000000003,2.6242858934321145
48,0.48,2.6238038243617985
49,0.49,2.623861520366161
50,0.5,2.6226996774338747
51,0.51,2.623490156306981
52,0.52,2.624267554161576
53,0.53,2.6249045688191703
54,0.54,2.6245695867907166
55,0.55,2.6234948255387134
56,0.56,2.6242954854823144
57,0.5700000000000001,2.623183674855738
58,0.58,2.6245513084907284
59,0.59,2.621094169323054
60,0.6,2.614194002771458
61,0.61,2.615701944527047
62,0.62,2.6163524677887935
63,0.63,2.616818999246583
64,0.64,2.6182435853308883
65,0.65,2.6186302290670724
66,0.66,2.6189211808467956
67,0.67,2.617884863367794
68,0.68,2.6186890697372727
69,0.6900000000000001,2.6188789755001447
70,0.7000000000000001,2.61787783532308
71,0.71,2.6184541896407123
72,0.72,2.6187535587781987
73,0.73,2.6185183082853176
74,0.74,2.6204261240461633
75,0.75,2.6239143486665504
76,0.76,2.6251692502907362
77,0.77,2.6247505157720634
78,0.78,2.6247989460969823
79,0.79,2.625295584234166
80,0.8,2.6267920748918114
81,0.81,2.6276796892312335
82,0.8200000000000001,2.628249228716556
83,0.8300000000000001,2.629431652013934
84,0.84,2.628489052998165
85,0.85,2.6273507494779627
86,0.86,2.6279920093868125
87,0.87,2.6288067479082775
88,0.88,2.6293178591250963
89,0.89,2.6289490407382714
90,0.9,2.628792011486743
91,0.91,2.630096457698941
92,0.92,2.630325454317359
93,0.93,2.6302788049756285
94,0.9400000000000001,2.6310800042607605
95,0.9500000000000001,2.6284900885361338
96,0.96,2.6260132231286226
97,0.97,2.627373137556663
98,0.98,2.6283544245719828
99,0.99,2.6278815447757102
100,1.0,2.6268446345385756
101,1.01,2.626605836168879
102,1.02,2.626693749879979
103,1.03,2.625507106244917
104,1.04,2.6255655581659045
105,1.05,2.6262259462848445
106,1.06,2.6259132805755345
107,1.07,2.626414067692298
108,1.08,2.627690056443152
109,1.09,2.629839352137773
110,1.1,2.630020175652469
111,1.11,2.6297973412315945
112,1.12,2.63019869265645
113,1.1300000000000001,2.6286344290279753
114,1.1400000000000001,2.627927216273903
115,1.1500000000000001,2.6270490876531674
116,1.16,2.62701114887471
117,1.17,2.6252679169998205
118,1.18,2.6224160108318144
119,1.19,2.624639865439715
120,1.2,2.6251215832910866
121,1.21,2.6242613577085563
122,1.22,2.6253468432131126
123,1.23,2.625252981355982
124,1.24,2.624790684769202
125,1.25,2.6250384198711743
126,1.26,2.6242054077565324
127,1.27,2.624927031408835
128,1.28,2.624314840972669
129,1.29,2.616519477310741
130,1.3,2.614361640634461
131,1.31,2.6190006541434903
132,1.32,2.620801582578426
133,1.33,2.620914267197332
134,1.34,2.6209859353470746
135,1.35,2.6219821762950244
136,1.36,2.6215266546029445
137,1.37,2.6216866037412982
138,1.3800000000000001,2.622663949541869
139,1.3900000000000001,2.6220183152976873
140,1.4000000000000001,2.622503368689816
141,1.41,2.622567315275243
142,1.42,2.623277351769505
143,1.43,2.6211559252363203
144,1.44,2.6188295875177316
145,1.45,2.623487360434351
146,1.46,2.624551724995992
147,1.47,2.6240343812713287
148,1.48,2.6266101273220013
149,1.49,2.6258755799676146
150,1.5,2.6260219230725657
151,1.51,2.627406992164426
152,1.52,2.627340290330997
153,1.53,2.628524725540978
154,1.54,2.6283273098738853
155,1.55,2.6278192110898964
156,1.56,2.6284321386424145
157,1.57,2.6267251166776653
158,1.58,2.6258979806377947
159,1.59,2.626446689966323
160,1.6,2.625227046398368
161,1.61,2.625912432860625
162,1.62,2.626589470292455
163,1.6300000000000001,2.626545451403225
164,1.6400000000000001,2.6255681464228715
165,1.6500000000000001,2.619062145736932
166,1.6600000000000001,2.6176180163257814
167,1.67,2.6211667071618536
168,1.68,2.620724995913459
169,1.69,2.620780047503131
170,1.7,2.622091942778506
171,1.71,2.623665230980715
172,1.72,2.624404726612594
173,1.73,2.6235708792210906
174,1.74,2.6229752036893323
175,1.75,2.623724006325589
176,1.76,2.6231586809896594
177,1.77,2.619619262225209
178,1.78,2.6202814789482147
179,1.79,2.62332068861046
180,1.8,2.623799806265358
181,1.81,2.6246156947786448
182,1.82,2.6248464961517533
183,1.83,2.624956064626256
184,1.84,2.625977190537777
