,time,volt
0,0.0,2.5349866773022303
1,0.01,2.5332848863029125
2,0.02,2.533576367871605
3,0.03,2.533969835787806
4,0.04,2.533689264917509
5,0.05,2.5333325279493164
6,0.06,2.5341981187679905
7,0.07,2.5343046603085027
8,0.08,2.5349533532724555
9,0.09,2.533530551030813
10,0.1,2.533674480919343
11,0.11,2.5339193508102222
12,0.12,2.5326174465618716
13,0.13,2.539929316502312
14,0.14,2.538460088143704
15,0.15,2.531837417615683
16,0.16,2.532650099886768
17,0.17,2.5310374719610187
18,0.18,2.531751150403882
19,0.19,2.5324906449777402
20,0.2,2.531891317337369
21,0.21,2.531896213792001
22,0.22,2.5309974211475454
23,0.23,2.531651441354512
24,0.24,2.53233330474346
25,0.25,2.5326304897912566
26,0.26,2.5327713895234942
27,0.27,2.532348073127321
28,0.28,2.531899083794458
29,0.29,2.532113595309651
30,0.3,2.5321067366094407
31,0.31,2.531711281005046
32,0.32,2.5326312199186827
33,0.33,2.5323506220599903
34,0.34,2.5315246161369203
35,0.35000000000000003,2.531736101392924
36,0.36,2.530999266702875
37,0.37,2.531699491756847
38,0.38,2.532259880237838
39,0.39,2.5315069045816707
40,0.4,2.5316386534452366
41,0.41000000000000003,2.531392828674724
42,0.42,2.532016440506415
43,0.43,2.530620430241798
44,0.44,2.531463732419693
45,0.45,2.5305772338402854
46,0.46,2.5324094661574934
47,0.47000000000000003,2.5675852605305725
48,0.48,2.6053808050223344
49,0.49,2.614362829531482
50,0.5,2.6172464975897536
51,0.51,2.619145544873883
52,0.52,2.6207704285496676
53,0.53,2.625504669308693
54,0.54,2.630454644824549
55,0.55,2.6326602445520275
56,0.56,2.6327259451195326
57,0.5700000000000001,2.633439202016964
58,0.58,2.6337020222782144
59,0.59,2.633636094977829
60,0.6,2.6348931823052206
61,0.61,2.635366613355883
62,0.62,2.634819563221315
63,0.63,2.635208243851373
64,0.64,2.634084743081973
65,0.65,2.6357848884806243
66,0.66,2.6404114316719536
67,0.67,2.643253427219771
68,0.68,2.6448878580809567
69,0.6900000000000001,2.6444101788135823
70,0.7000000000000001,2.6445584475623494
71,0.71,2.6444350968909442
72,0.72,2.644322333355036
73,0.73,2.6447276977799765
