Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,168.0mV
Probe attenuation    :,10X
Voltage per ADC value:,0.244141mV
Time interval        :,400.00000us

index,CH1_Voltage(mV)
655,285.156250
656,277.343750
657,289.062500
658,312.500000
659,277.343750
660,308.593750
661,285.156250
662,312.500000
663,324.218750
664,316.406250
665,296.875000
666,308.593750
667,292.968750
668,308.593750
669,250.000000
670,308.593750
671,281.250000
672,292.968750
673,316.406250
674,292.968750
675,324.218750
676,300.781250
677,273.437500
678,308.593750
679,246.093750
680,250.000000
681,308.593750
682,324.218750
683,328.125000
684,324.218750
685,332.031250
686,347.656250
687,343.750000
688,296.875000
689,312.500000
690,316.406250
691,328.125000
692,304.687500
693,324.218750
694,304.687500
695,308.593750
696,324.218750
697,316.406250
698,312.500000
699,335.937500
700,312.500000
701,328.125000
702,328.125000
703,328.125000
704,335.937500
705,324.218750
706,308.593750
707,332.031250
708,328.125000
709,324.218750
710,316.406250
711,308.593750
712,289.062500
713,308.593750
714,324.218750
715,296.875000
716,316.406250
717,292.968750
718,296.875000
719,277.343750
720,261.718750
721,253.906250
722,261.718750
723,261.718750
724,285.156250
725,277.343750
726,246.093750
727,246.093750
728,246.093750
729,246.093750
730,246.093750
731,246.093750
732,246.093750
733,246.093750
734,246.093750
735,242.187500
736,246.093750
737,246.093750
738,246.093750
739,246.093750
740,289.062500
741,308.593750
742,304.687500
743,289.062500
744,261.718750
745,253.906250
746,246.093750
747,324.218750
748,316.406250
749,312.500000
750,308.593750
751,308.593750
752,296.875000
753,316.406250
754,324.218750
755,308.593750
756,324.218750
757,269.531250
758,269.531250
759,285.156250
760,292.968750
761,292.968750
762,292.968750
763,296.875000
764,308.593750
765,308.593750
766,308.593750
767,308.593750
768,316.406250
769,312.500000
770,308.593750
771,308.593750
772,308.593750
773,308.593750
774,308.593750
775,308.593750
776,312.500000
777,308.593750
778,312.500000
779,312.500000
780,308.593750
781,312.500000
782,300.781250
783,316.406250
784,308.593750
785,316.406250
786,312.500000
787,316.406250
788,312.500000
789,312.500000
790,308.593750
791,308.593750
792,308.593750
793,308.593750
794,316.406250
795,308.593750
796,324.218750
797,316.406250
798,316.406250
799,316.406250
800,312.500000
801,316.406250
802,316.406250
803,316.406250
804,324.218750
805,332.031250
806,308.593750
807,324.218750
808,332.031250
809,324.218750
810,324.218750
811,324.218750
812,312.500000
813,324.218750
814,316.406250
815,312.500000
816,312.500000
817,324.218750
818,324.218750
819,324.218750
820,324.218750
821,324.218750
822,324.218750
823,316.406250
824,308.593750
825,296.875000
826,261.718750
827,308.593750
828,316.406250
829,328.125000
830,335.937500
831,328.125000
832,328.125000
833,324.218750
834,308.593750
835,324.218750
836,324.218750
837,308.593750
838,312.500000
839,285.156250
840,304.687500
841,246.093750
842,246.093750
843,250.000000
844,246.093750
845,246.093750
846,246.093750
847,246.093750
848,246.093750
849,246.093750
850,246.093750
851,246.093750
852,246.093750
853,246.093750
854,246.093750
855,246.093750
856,246.093750
857,250.000000
858,246.093750
859,246.093750
860,246.093750
861,253.906250
862,246.093750
863,246.093750
864,246.093750
865,324.218750
866,316.406250
867,320.312500
868,312.500000
869,312.500000
870,296.875000
871,308.593750
872,308.593750
873,308.593750
874,324.218750
875,324.218750
876,312.500000
877,312.500000
