,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,LABEL
0,-0.723625,-0.723625,-0.723625,-0.3773931,-1.0698569,-1.4160888,-2.1085525,-2.1085525,1.3537662,1.0075344,-2.1085525,-0.3773931,-2.1085525,-2.1085525,-2.1085525,-2.1085525,-1.7623206,-1.4160888,-0.031161249,-1.0698569,7
1,-0.723625,-0.723625,-0.3773931,-1.0698569,-1.4160888,-2.1085525,-2.1085525,1.3537662,1.0075344,-2.1085525,-0.3773931,-2.1085525,-2.1085525,-2.1085525,-2.1085525,-1.7623206,-1.4160888,-0.031161249,-1.0698569,-1.0698569,7
2,-0.723625,-0.3773931,-1.0698569,-1.4160888,-2.1085525,-2.1085525,1.3537662,1.0075344,-2.1085525,-0.3773931,-2.1085525,-2.1085525,-2.1085525,-2.1085525,-1.7623206,-1.4160888,-0.031161249,-1.0698569,-1.0698569,-1.0698569,7
3,-0.3773931,-1.0698569,-1.4160888,-2.1085525,-2.1085525,1.3537662,1.0075344,-2.1085525,-0.3773931,-2.1085525,-2.1085525,-2.1085525,-2.1085525,-1.7623206,-1.4160888,-0.031161249,-1.0698569,-1.0698569,-1.0698569,-1.4160888,7
4,-1.0698569,-1.4160888,-2.1085525,-2.1085525,1.3537662,1.0075344,-2.1085525,-0.3773931,-2.1085525,-2.1085525,-2.1085525,-2.1085525,-1.7623206,-1.4160888,-0.031161249,-1.0698569,-1.0698569,-1.0698569,-1.4160888,-1.0698569,7
5,-1.4160888,-2.1085525,-2.1085525,1.3537662,1.0075344,-2.1085525,-0.3773931,-2.1085525,-2.1085525,-2.1085525,-2.1085525,-1.7623206,-1.4160888,-0.031161249,-1.0698569,-1.0698569,-1.0698569,-1.4160888,-1.0698569,-0.3773931,7
6,-2.1085525,-2.1085525,1.3537662,1.0075344,-2.1085525,-0.3773931,-2.1085525,-2.1085525,-2.1085525,-2.1085525,-1.7623206,-1.4160888,-0.031161249,-1.0698569,-1.0698569,-1.0698569,-1.4160888,-1.0698569,-0.3773931,-0.031161249,7
7,-2.1085525,1.3537662,1.0075344,-2.1085525,-0.3773931,-2.1085525,-2.1085525,-2.1085525,-2.1085525,-1.7623206,-1.4160888,-0.031161249,-1.0698569,-1.0698569,-1.0698569,-1.4160888,-1.0698569,-0.3773931,-0.031161249,-1.0698569,7
8,1.3537662,1.0075344,-2.1085525,-0.3773931,-2.1085525,-2.1085525,-2.1085525,-2.1085525,-1.7623206,-1.4160888,-0.031161249,-1.0698569,-1.0698569,-1.0698569,-1.4160888,-1.0698569,-0.3773931,-0.031161249,-1.0698569,-1.0698569,7
9,1.0075344,-2.1085525,-0.3773931,-2.1085525,-2.1085525,-2.1085525,-2.1085525,-1.7623206,-1.4160888,-0.031161249,-1.0698569,-1.0698569,-1.0698569,-1.4160888,-1.0698569,-0.3773931,-0.031161249,-1.0698569,-1.0698569,-2.4547844,7
10,-2.1085525,-0.3773931,-2.1085525,-2.1085525,-2.1085525,-2.1085525,-1.7623206,-1.4160888,-0.031161249,-1.0698569,-1.0698569,-1.0698569,-1.4160888,-1.0698569,-0.3773931,-0.031161249,-1.0698569,-1.0698569,-2.4547844,-2.1085525,7
11,-0.3773931,-2.1085525,-2.1085525,-2.1085525,-2.1085525,-1.7623206,-1.4160888,-0.031161249,-1.0698569,-1.0698569,-1.0698569,-1.4160888,-1.0698569,-0.3773931,-0.031161249,-1.0698569,-1.0698569,-2.4547844,-2.1085525,-2.1085525,7
12,-2.1085525,-2.1085525,-2.1085525,-2.1085525,-1.7623206,-1.4160888,-0.031161249,-1.0698569,-1.0698569,-1.0698569,-1.4160888,-1.0698569,-0.3773931,-0.031161249,-1.0698569,-1.0698569,-2.4547844,-2.1085525,-2.1085525,-1.4160888,7
13,-2.1085525,-2.1085525,-2.1085525,-1.7623206,-1.4160888,-0.031161249,-1.0698569,-1.0698569,-1.0698569,-1.4160888,-1.0698569,-0.3773931,-0.031161249,-1.0698569,-1.0698569,-2.4547844,-2.1085525,-2.1085525,-1.4160888,-1.7623206,7
14,-2.1085525,-2.1085525,-1.7623206,-1.4160888,-0.031161249,-1.0698569,-1.0698569,-1.0698569,-1.4160888,-1.0698569,-0.3773931,-0.031161249,-1.0698569,-1.0698569,-2.4547844,-2.1085525,-2.1085525,-1.4160888,-1.7623206,-2.1085525,7
15,-2.1085525,-1.7623206,-1.4160888,-0.031161249,-1.0698569,-1.0698569,-1.0698569,-1.4160888,-1.0698569,-0.3773931,-0.031161249,-1.0698569,-1.0698569,-2.4547844,-2.1085525,-2.1085525,-1.4160888,-1.7623206,-2.1085525,-2.4547844,7
16,-1.7623206,-1.4160888,-0.031161249,-1.0698569,-1.0698569,-1.0698569,-1.4160888,-1.0698569,-0.3773931,-0.031161249,-1.0698569,-1.0698569,-2.4547844,-2.1085525,-2.1085525,-1.4160888,-1.7623206,-2.1085525,-2.4547844,-0.031161249,7
17,-1.4160888,-0.031161249,-1.0698569,-1.0698569,-1.0698569,-1.4160888,-1.0698569,-0.3773931,-0.031161249,-1.0698569,-1.0698569,-2.4547844,-2.1085525,-2.1085525,-1.4160888,-1.7623206,-2.1085525,-2.4547844,-0.031161249,-1.4160888,7
18,-0.031161249,-1.0698569,-1.0698569,-1.0698569,-1.4160888,-1.0698569,-0.3773931,-0.031161249,-1.0698569,-1.0698569,-2.4547844,-2.1085525,-2.1085525,-1.4160888,-1.7623206,-2.1085525,-2.4547844,-0.031161249,-1.4160888,-1.0698569,7
19,-1.0698569,-1.0698569,-1.0698569,-1.4160888,-1.0698569,-0.3773931,-0.031161249,-1.0698569,-1.0698569,-2.4547844,-2.1085525,-2.1085525,-1.4160888,-1.7623206,-2.1085525,-2.4547844,-0.031161249,-1.4160888,-1.0698569,-0.3773931,7
20,-1.0698569,-1.0698569,-1.4160888,-1.0698569,-0.3773931,-0.031161249,-1.0698569,-1.0698569,-2.4547844,-2.1085525,-2.1085525,-1.4160888,-1.7623206,-2.1085525,-2.4547844,-0.031161249,-1.4160888,-1.0698569,-0.3773931,1.0075344,7
21,-1.0698569,-1.4160888,-1.0698569,-0.3773931,-0.031161249,-1.0698569,-1.0698569,-2.4547844,-2.1085525,-2.1085525,-1.4160888,-1.7623206,-2.1085525,-2.4547844,-0.031161249,-1.4160888,-1.0698569,-0.3773931,1.0075344,-1.0698569,7
22,-1.4160888,-1.0698569,-0.3773931,-0.031161249,-1.0698569,-1.0698569,-2.4547844,-2.1085525,-2.1085525,-1.4160888,-1.7623206,-2.1085525,-2.4547844,-0.031161249,-1.4160888,-1.0698569,-0.3773931,1.0075344,-1.0698569,-1.0698569,7
23,-1.0698569,-0.3773931,-0.031161249,-1.0698569,-1.0698569,-2.4547844,-2.1085525,-2.1085525,-1.4160888,-1.7623206,-2.1085525,-2.4547844,-0.031161249,-1.4160888,-1.0698569,-0.3773931,1.0075344,-1.0698569,-1.0698569,2.3924701,7
24,-0.3773931,-0.031161249,-1.0698569,-1.0698569,-2.4547844,-2.1085525,-2.1085525,-1.4160888,-1.7623206,-2.1085525,-2.4547844,-0.031161249,-1.4160888,-1.0698569,-0.3773931,1.0075344,-1.0698569,-1.0698569,2.3924701,-0.723625,7
25,-0.031161249,-1.0698569,-1.0698569,-2.4547844,-2.1085525,-2.1085525,-1.4160888,-1.7623206,-2.1085525,-2.4547844,-0.031161249,-1.4160888,-1.0698569,-0.3773931,1.0075344,-1.0698569,-1.0698569,2.3924701,-0.723625,-0.3773931,7
26,-1.0698569,-1.0698569,-2.4547844,-2.1085525,-2.1085525,-1.4160888,-1.7623206,-2.1085525,-2.4547844,-0.031161249,-1.4160888,-1.0698569,-0.3773931,1.0075344,-1.0698569,-1.0698569,2.3924701,-0.723625,-0.3773931,0.6613025,7
27,-1.0698569,-2.4547844,-2.1085525,-2.1085525,-1.4160888,-1.7623206,-2.1085525,-2.4547844,-0.031161249,-1.4160888,-1.0698569,-0.3773931,1.0075344,-1.0698569,-1.0698569,2.3924701,-0.723625,-0.3773931,0.6613025,-0.723625,7
28,-2.4547844,-2.1085525,-2.1085525,-1.4160888,-1.7623206,-2.1085525,-2.4547844,-0.031161249,-1.4160888,-1.0698569,-0.3773931,1.0075344,-1.0698569,-1.0698569,2.3924701,-0.723625,-0.3773931,0.6613025,-0.723625,-0.723625,7
29,-2.1085525,-2.1085525,-1.4160888,-1.7623206,-2.1085525,-2.4547844,-0.031161249,-1.4160888,-1.0698569,-0.3773931,1.0075344,-1.0698569,-1.0698569,2.3924701,-0.723625,-0.3773931,0.6613025,-0.723625,-0.723625,-0.3773931,7
30,-2.1085525,-1.4160888,-1.7623206,-2.1085525,-2.4547844,-0.031161249,-1.4160888,-1.0698569,-0.3773931,1.0075344,-1.0698569,-1.0698569,2.3924701,-0.723625,-0.3773931,0.6613025,-0.723625,-0.723625,-0.3773931,-0.723625,7
31,-1.4160888,-1.7623206,-2.1085525,-2.4547844,-0.031161249,-1.4160888,-1.0698569,-0.3773931,1.0075344,-1.0698569,-1.0698569,2.3924701,-0.723625,-0.3773931,0.6613025,-0.723625,-0.723625,-0.3773931,-0.723625,-0.3773931,7
32,-1.7623206,-2.1085525,-2.4547844,-0.031161249,-1.4160888,-1.0698569,-0.3773931,1.0075344,-1.0698569,-1.0698569,2.3924701,-0.723625,-0.3773931,0.6613025,-0.723625,-0.723625,-0.3773931,-0.723625,-0.3773931,1.0075344,7
33,-2.1085525,-2.4547844,-0.031161249,-1.4160888,-1.0698569,-0.3773931,1.0075344,-1.0698569,-1.0698569,2.3924701,-0.723625,-0.3773931,0.6613025,-0.723625,-0.723625,-0.3773931,-0.723625,-0.3773931,1.0075344,-0.3773931,7
34,-2.4547844,-0.031161249,-1.4160888,-1.0698569,-0.3773931,1.0075344,-1.0698569,-1.0698569,2.3924701,-0.723625,-0.3773931,0.6613025,-0.723625,-0.723625,-0.3773931,-0.723625,-0.3773931,1.0075344,-0.3773931,-0.3773931,7
35,-0.031161249,-1.4160888,-1.0698569,-0.3773931,1.0075344,-1.0698569,-1.0698569,2.3924701,-0.723625,-0.3773931,0.6613025,-0.723625,-0.723625,-0.3773931,-0.723625,-0.3773931,1.0075344,-0.3773931,-0.3773931,-0.3773931,7
36,-1.4160888,-1.0698569,-0.3773931,1.0075344,-1.0698569,-1.0698569,2.3924701,-0.723625,-0.3773931,0.6613025,-0.723625,-0.723625,-0.3773931,-0.723625,-0.3773931,1.0075344,-0.3773931,-0.3773931,-0.3773931,2.3924701,7
