Channel,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,101.6mV
Probe attenuation    :,10X
Voltage per ADC value:,0.244141mV
Time interval        :,400.00000us

index,CH1_Voltage(mV)
655,222.656250
656,222.656250
657,222.656250
658,222.656250
659,222.656250
660,222.656250
661,230.468750
662,222.656250
663,222.656250
664,222.656250
665,222.656250
666,222.656250
667,230.468750
668,222.656250
669,222.656250
670,230.468750
671,226.562500
672,222.656250
673,222.656250
674,230.468750
675,226.562500
676,230.468750
677,226.562500
678,230.468750
679,226.562500
680,230.468750
681,222.656250
682,230.468750
683,226.562500
684,230.468750
685,230.468750
686,230.468750
687,226.562500
688,230.468750
689,222.656250
690,222.656250
691,230.468750
692,230.468750
693,230.468750
694,222.656250
695,230.468750
696,230.468750
697,230.468750
698,226.562500
699,230.468750
700,230.468750
701,230.468750
702,230.468750
703,230.468750
704,230.468750
705,218.750000
706,230.468750
707,230.468750
708,230.468750
709,226.562500
710,230.468750
711,230.468750
712,230.468750
713,230.468750
714,230.468750
715,222.656250
716,230.468750
717,226.562500
718,230.468750
719,230.468750
720,230.468750
721,230.468750
722,230.468750
723,230.468750
724,234.375000
725,230.468750
726,226.562500
727,226.562500
728,230.468750
729,230.468750
730,230.468750
731,222.656250
732,230.468750
733,230.468750
734,230.468750
735,230.468750
736,230.468750
737,230.468750
738,230.468750
739,230.468750
740,230.468750
741,222.656250
742,230.468750
743,230.468750
744,230.468750
745,230.468750
746,230.468750
747,230.468750
748,226.562500
749,230.468750
750,230.468750
751,222.656250
752,230.468750
753,230.468750
754,230.468750
755,246.093750
756,230.468750
757,230.468750
758,226.562500
759,230.468750
760,230.468750
761,230.468750
762,230.468750
763,230.468750
764,226.562500
765,230.468750
766,230.468750
767,230.468750
768,230.468750
769,230.468750
770,230.468750
771,230.468750
772,226.562500
773,230.468750
774,226.562500
775,230.468750
776,230.468750
777,230.468750
778,230.468750
779,222.656250
780,230.468750
781,230.468750
782,238.281250
783,230.468750
784,226.562500
785,230.468750
786,218.750000
787,230.468750
788,222.656250
789,230.468750
790,230.468750
791,230.468750
792,222.656250
793,230.468750
794,226.562500
795,226.562500
796,230.468750
797,238.281250
798,238.281250
799,230.468750
800,234.375000
801,230.468750
802,234.375000
803,234.375000
804,234.375000
805,234.375000
806,234.375000
807,234.375000
808,234.375000
809,234.375000
810,230.468750
811,230.468750
812,234.375000
813,234.375000
814,234.375000
815,238.281250
816,234.375000
817,234.375000
818,234.375000
819,246.093750
820,246.093750
821,246.093750
822,246.093750
823,242.187500
824,246.093750
825,242.187500
826,246.093750
827,246.093750
828,246.093750
829,242.187500
830,242.187500
831,246.093750
832,246.093750
833,246.093750
834,246.093750
835,242.187500
836,242.187500
837,242.187500
838,246.093750
839,242.187500
840,246.093750
841,246.093750
842,234.375000
843,234.375000
844,222.656250
845,234.375000
846,234.375000
847,234.375000
848,234.375000
849,230.468750
850,226.562500
851,230.468750
852,230.468750
853,230.468750
854,230.468750
855,230.468750
856,230.468750
857,230.468750
858,230.468750
859,230.468750
860,230.468750
861,230.468750
862,234.375000
863,230.468750
864,230.468750
865,230.468750
866,226.562500
867,230.468750
868,230.468750
869,222.656250
870,230.468750
871,238.281250
872,230.468750
873,222.656250
874,230.468750
875,230.468750
876,230.468750
877,230.468750
